Year,Period,Area,Income Source,Income Type,Income
2016,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$20,112,104"
2015,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,597"
2015,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$19,027,697"
2014,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,185"
2014,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$83,446"
2022,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$77,900"
2022,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$37,598,558"
2021,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$78,558"
2021,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$38,047,053"
2020,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$71,866"
2020,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$35,091,038"
2019,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$65,804"
2019,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,300,805"
2018,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,066"
2018,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$30,283,557"
2017,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,858"
2017,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,988,972"
2016,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,513"
2016,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$27,836,308"
2015,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,594"
2015,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,783,825"
2014,Annual,Sonoma County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,235"
2014,Annual,Sonoma County,U.S. BEA - Local Data,Total Personal Income - BEA,"$87,597"
2022,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,015"
2022,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,123,096"
2021,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,130"
2021,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,820,142"
2020,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,532"
2020,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,848,535"
2019,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,396"
2019,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,954,863"
2018,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,452"
2018,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,792,301"
2017,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,592"
2017,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,172,349"
2016,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,780"
2016,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,499,589"
2015,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,006"
2015,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$20,836,373"
2014,Annual,Stanislaus County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,922"
2014,Annual,Stanislaus County,U.S. BEA - Local Data,Total Personal Income - BEA,"$65,947"
2022,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,005"
2022,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,122,683"
2021,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,408"
2021,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,289,376"
2020,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,536"
2020,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,927,076"
2019,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,868"
2019,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,373,169"
2018,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,184"
2018,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,168,235"
2017,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,348"
2017,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,966,809"
2016,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,983"
2016,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,902,972"
2015,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,130"
2015,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,786,330"
2014,Annual,Sutter County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$23,689"
2014,Annual,Sutter County,U.S. BEA - Local Data,Total Personal Income - BEA,"$69,238"
2022,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,315"
2022,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,087,088"
2021,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,750"
2021,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,121,904"
2020,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,883"
2020,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,947,996"
2019,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,081"
2019,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,653,050"
2018,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,783"
2018,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,512,451"
2017,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,997"
2017,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,454,516"
2016,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,008"
2016,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,309,054"
2015,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,500"
2015,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,261,405"
2014,Annual,Tehama County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,263"
2014,Annual,Tehama County,U.S. BEA - Local Data,Total Personal Income - BEA,"$55,221"
2022,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,314"
2022,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$573,075"
2021,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,204"
2021,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$565,409"
2020,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$33,472"
2020,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$538,535"
2019,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$31,634"
2019,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$500,196"
2018,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$30,685"
2018,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$482,368"
2017,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,747"
2017,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$459,881"
2016,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,722"
2016,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$450,849"
2015,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,552"
2015,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$445,463"
2014,Annual,Trinity County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$22,975"
2014,Annual,Trinity County,U.S. BEA - Local Data,Total Personal Income - BEA,"$52,129"
2022,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,295"
2022,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,585,661"
2021,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,626"
2021,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,191,982"
2020,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,523"
2020,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,572,811"
2019,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,834"
2019,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$18,728,754"
2018,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,070"
2018,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,824,523"
2017,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,983"
2017,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,681,249"
2016,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,125"
2016,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,149,047"
2015,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,556"
2015,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$16,328,948"
2014,Annual,Tulare County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$17,876"
2014,Annual,Tulare County,U.S. BEA - Local Data,Total Personal Income - BEA,"$58,678"
2022,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,806"
2022,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,879,540"
2021,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,216"
2021,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,930,342"
2020,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,653"
2020,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,749,488"
2019,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,926"
2019,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,534,017"
2018,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,806"
2018,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,411,046"
2017,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,170"
2017,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,358,873"
2016,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,373"
2016,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,301,639"
2015,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,912"
2015,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,213,043"
2014,Annual,Tuolumne County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$27,054"
2014,Annual,Tuolumne County,U.S. BEA - Local Data,Total Personal Income - BEA,"$64,828"
2022,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$76,375"
2022,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$63,589,878"
2021,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,527"
2021,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$62,554,527"
2020,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$68,273"
2020,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$57,575,258"
2019,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,886"
2019,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$53,163,902"
2018,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,781"
2018,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$50,711,842"
2017,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,456"
2017,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$48,791,042"
2016,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,756"
2016,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$47,265,014"
2015,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,241"
2015,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$45,901,737"
2014,Annual,Ventura County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$33,435"
2014,Annual,Ventura County,U.S. BEA - Local Data,Total Personal Income - BEA,"$100,843"
2022,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$64,279"
2022,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$14,277,264"
2021,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$14,126,183"
2021,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$66,308"
2020,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,305"
2020,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$13,043,398"
2019,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,226"
2019,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,974,697"
2018,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,304,743"
2018,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,040"
2017,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,754"
2017,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,961,869"
2016,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,918"
2016,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,654,951"
2015,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,307,702"
2015,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,027"
2014,Annual,Yolo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$28,116"
2014,Annual,Yolo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$78,450"
2022,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,204"
2022,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,064,114"
2021,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,078,703"
2021,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,013"
2020,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,680"
2020,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,745,504"
2019,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,285"
2019,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,306,694"
2018,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,108,945"
2018,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,466"
2017,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,776"
2017,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,937,225"
2016,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,593"
2016,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,853,823"
2015,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,738,968"
2015,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,587"
2014,Annual,Yuba County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$20,471"
2014,Annual,Yuba County,U.S. BEA - Local Data,Total Personal Income - BEA,"$58,447"
