Year,Period,Area,Income Source,Income Type,Income
2020,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$100,692,971"
2019,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$80,243"
2019,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$93,446,849"
2018,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$78,504"
2018,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$91,160,536"
2017,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,770"
2017,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$86,335,914"
2016,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$70,261"
2016,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$80,449,066"
2015,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,056"
2015,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$75,811,060"
2014,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,313"
2014,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$109,573"
2022,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,677"
2022,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,182,855"
2021,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,708"
2021,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,231,849"
2020,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,477"
2020,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,144,798"
2019,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,566"
2019,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,011,557"
2018,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,090"
2018,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$967,786"
2017,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,350"
2017,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$934,261"
2016,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,105"
2016,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$929,522"
2015,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$33,072"
2015,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$895,103"
2014,Annual,Del Norte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$19,560"
2014,Annual,Del Norte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$54,641"
2022,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$82,062"
2022,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$15,808,893"
2021,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$79,736"
2021,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$15,436,024"
2020,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,197"
2020,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$14,187,909"
2019,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$68,992"
2019,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$13,203,465"
2018,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$66,033"
2018,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$12,509,360"
2017,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$63,328"
2017,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,874,184"
2016,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,076"
2016,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,479,612"
2015,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,818"
2015,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,805,487"
2014,Annual,El Dorado County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,588"
2014,Annual,El Dorado County,U.S. BEA - Local Data,Total Personal Income - BEA,"$93,356"
2022,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,549"
2022,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$51,316,407"
2021,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,692"
2021,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$52,363,942"
2020,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,095"
2020,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$48,552,515"
2019,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,622"
2019,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$42,828,739"
2018,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,606"
2018,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$40,504,743"
2017,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,600"
2017,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$39,208,890"
2016,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,072"
2016,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$38,323,050"
2015,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,296"
2015,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$37,251,040"
2014,Annual,Fresno County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$20,408"
2014,Annual,Fresno County,U.S. BEA - Local Data,Total Personal Income - BEA,"$63,314"
2022,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,055"
2022,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,446,856"
2021,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,251"
2021,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,497,724"
2020,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,494"
2020,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,430,189"
2019,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,128"
2019,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,250,310"
2018,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,536"
2018,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,206,997"
2017,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,428"
2017,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,143,898"
2016,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,126"
2016,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,129,760"
2015,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,924"
2015,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,090,813"
2014,Annual,Glenn County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,313"
2014,Annual,Glenn County,U.S. BEA - Local Data,Total Personal Income - BEA,"$59,845"
2022,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,043"
2022,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,296,395"
2021,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,214"
2021,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,310,048"
2020,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,271"
2020,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,850,029"
2019,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,844"
2019,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,283,125"
2018,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,823"
2018,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,029,582"
2017,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,818"
2017,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,894,662"
2016,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,584"
2016,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,709,430"
