Year,Period,Area,Population Source,Population
2015,Annual,San Benito County,California Dept of Finance,"59,220"
2014,Annual,San Benito County,California Dept of Finance,"57,993"
2022,Annual,San Bernardino County,California Dept of Finance,"2,179,263"
2021,Annual,San Bernardino County,California Dept of Finance,"2,183,756"
2020,Annual,San Bernardino County,California Dept of Finance,"2,185,348"
2019,Annual,San Bernardino County,California Dept of Finance,"2,174,437"
2018,Annual,San Bernardino County,California Dept of Finance,"2,160,036"
2017,Annual,San Bernardino County,California Dept of Finance,"2,147,291"
2016,Annual,San Bernardino County,California Dept of Finance,"2,132,121"
2015,Annual,San Bernardino County,California Dept of Finance,"2,119,575"
2014,Annual,San Bernardino County,California Dept of Finance,"2,091,618"
2022,Annual,San Diego County,California Dept of Finance,"3,293,911"
2021,Annual,San Diego County,California Dept of Finance,"3,285,268"
2020,Annual,San Diego County,California Dept of Finance,"3,304,801"
2019,Annual,San Diego County,California Dept of Finance,"3,294,272"
2018,Annual,San Diego County,California Dept of Finance,"3,293,350"
2017,Annual,San Diego County,California Dept of Finance,"3,276,113"
2016,Annual,San Diego County,California Dept of Finance,"3,263,517"
2015,Annual,San Diego County,California Dept of Finance,"3,248,371"
2014,Annual,San Diego County,California Dept of Finance,"3,212,298"
2022,Annual,San Francisco County,California Dept of Finance,"843,094"
2021,Annual,San Francisco County,California Dept of Finance,"841,721"
2020,Annual,San Francisco County,California Dept of Finance,"870,734"
2019,Annual,San Francisco County,California Dept of Finance,"872,205"
2018,Annual,San Francisco County,California Dept of Finance,"872,338"
2017,Annual,San Francisco County,California Dept of Finance,"868,879"
2016,Annual,San Francisco County,California Dept of Finance,"863,546"
2015,Annual,San Francisco County,California Dept of Finance,"857,037"
2014,Annual,San Francisco County,California Dept of Finance,"837,831"
2022,Annual,San Joaquin County,California Dept of Finance,"784,017"
2021,Annual,San Joaquin County,California Dept of Finance,"781,946"
2020,Annual,San Joaquin County,California Dept of Finance,"779,968"
2019,Annual,San Joaquin County,California Dept of Finance,"771,083"
2018,Annual,San Joaquin County,California Dept of Finance,"759,753"
